,0 - 500m3,1000,1500,2000,2500,3000,3500,4000,4500,5000,5500,6000,6500,7000,7500,8000,8500,9000,9500,10000,10500,11000,11500,12000,12500,13000,13500,14000,14500,15000,15500,16000,16500,17000,17500,18000,18500,19000,19500,20000,20500
14000,1.00,2.00,0.00,0.00,1.00,1.00,1.00,1.00,2.00,3.00,4.00,4.00,3.00,5.00,9.00,5.00,9.00,13.00,8.00,12.00,17.00,25.00,26.00,36.00,43.00,64.00,79.00,64.00,79.00,82.00,60.00,53.00,41.00,36.00,16.00,23.00,10.00,14.00,5.00,8.00,13.00
14500,4.00,0.00,1.00,1.00,0.00,1.00,2.00,1.00,3.00,3.00,4.00,5.00,1.00,4.00,6.00,5.00,5.00,11.00,9.00,11.00,16.00,21.00,28.00,27.00,33.00,46.00,55.00,70.00,83.00,94.00,83.00,49.00,59.00,51.00,36.00,19.00,11.00,9.00,6.00,6.00,14.00
15000,1.00,2.00,0.00,0.00,1.00,1.00,2.00,1.00,1.00,2.00,3.00,0.00,2.00,1.00,6.00,6.00,8.00,5.00,11.00,9.00,16.00,19.00,19.00,21.00,22.00,28.00,39.00,62.00,61.00,88.00,79.00,88.00,58.00,56.00,33.00,28.00,20.00,17.00,9.00,11.00,15.00
15500,0.00,0.00,0.00,0.00,1.00,0.00,0.00,1.00,2.00,0.00,1.00,1.00,1.00,1.00,4.00,7.00,9.00,6.00,7.00,8.00,11.00,9.00,13.00,8.00,9.00,14.00,40.00,32.00,36.00,56.00,81.00,76.00,82.00,62.00,62.00,50.00,30.00,26.00,19.00,8.00,19.00
16000,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,3.00,2.00,1.00,1.00,4.00,5.00,2.00,7.00,6.00,3.00,9.00,10.00,9.00,10.00,17.00,19.00,11.00,30.00,29.00,44.00,47.00,52.00,88.00,94.00,74.00,66.00,60.00,36.00,29.00,26.00,17.00,26.00
16500,0.00,0.00,1.00,1.00,0.00,0.00,0.00,1.00,0.00,1.00,1.00,1.00,4.00,2.00,1.00,7.00,1.00,4.00,3.00,10.00,2.00,11.00,7.00,8.00,11.00,23.00,21.00,14.00,34.00,34.00,51.00,60.00,86.00,70.00,85.00,80.00,64.00,33.00,30.00,18.00,35.00
17000,0.00,0.00,0.00,0.00,2.00,1.00,1.00,2.00,1.00,2.00,1.00,0.00,1.00,3.00,3.00,3.00,2.00,2.00,2.00,7.00,6.00,7.00,8.00,4.00,9.00,14.00,10.00,16.00,23.00,31.00,29.00,58.00,58.00,79.00,83.00,93.00,83.00,62.00,45.00,36.00,57.00
17500,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,4.00,2.00,3.00,4.00,2.00,4.00,5.00,8.00,7.00,7.00,12.00,6.00,9.00,6.00,18.00,14.00,22.00,22.00,17.00,37.00,45.00,68.00,75.00,102.00,106.00,75.00,57.00,42.00,64.00
18000,0.00,0.00,1.00,0.00,1.00,0.00,0.00,0.00,0.00,1.00,0.00,1.00,2.00,1.00,1.00,4.00,4.00,2.00,3.00,7.00,4.00,6.00,7.00,4.00,5.00,7.00,7.00,11.00,19.00,21.00,14.00,20.00,43.00,62.00,70.00,99.00,68.00,83.00,78.00,64.00,92.00
18500,0.00,1.00,0.00,0.00,1.00,0.00,0.00,1.00,0.00,1.00,1.00,0.00,0.00,2.00,3.00,2.00,1.00,1.00,2.00,1.00,2.00,3.00,2.00,4.00,5.00,5.00,5.00,9.00,9.00,16.00,19.00,20.00,34.00,42.00,58.00,63.00,85.00,84.00,91.00,64.00,109.00
19000,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,1.00,1.00,0.00,2.00,1.00,0.00,3.00,3.00,1.00,4.00,2.00,4.00,3.00,2.00,4.00,5.00,11.00,5.00,11.00,9.00,10.00,10.00,24.00,27.00,33.00,40.00,56.00,66.00,81.00,87.00,73.00,174.00
19500,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,2.00,2.00,3.00,1.00,0.00,1.00,5.00,2.00,4.00,9.00,10.00,5.00,6.00,12.00,13.00,13.00,18.00,21.00,27.00,36.00,60.00,74.00,79.00,72.00,188.00
20000,0.00,0.00,2.00,1.00,0.00,1.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,2.00,4.00,1.00,0.00,3.00,4.00,0.00,3.00,3.00,3.00,4.00,3.00,7.00,12.00,15.00,8.00,16.00,22.00,24.00,34.00,36.00,48.00,64.00,77.00,232.00
20500,7.00,14.00,8.00,4.00,8.00,11.00,3.00,9.00,12.00,9.00,12.00,10.00,12.00,14.00,22.00,24.00,25.00,26.00,38.00,37.00,54.00,48.00,55.00,71.00,81.00,68.00,87.00,111.00,104.00,118.00,146.00,144.00,202.00,202.00,273.00,304.00,346.00,408.00,489.00,577.00,6038.00
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
